uniqueID,drugName,condition,rating,date,usefulCount
231806,Trazodone,Insomnia,5,8-Dec-13,43
231803,Trazodone,Insomnia,10,14-Dec-13,185
231800,Trazodone,Depression,9,5-Jan-14,122
231799,Trazodone,Insomnia,10,12-Feb-14,82
231782,Trazodone,Anxiety,8,10-Sep-13,89
231770,Trazodone,Depression,1,20-Oct-13,53
231769,Trazodone,Insomnia,9,26-Oct-13,33
231767,Trazodone,Depression,9,9-Nov-13,110
231763,Trazodone,Insomnia,5,17-Nov-13,80
231758,Trazodone,ibromyalgia,9,14-May-14,36
231753,Trazodone,Depression,10,20-Jun-14,174
231751,Trazodone,Insomnia,9,27-Jun-14,81
231743,Trazodone,Insomnia,10,7-Aug-14,164
231735,Trazodone,Insomnia,9,17-Sep-14,115
231725,Trazodone,Anxiety,8,21-Oct-14,137
231720,Trazodone,Insomnia,8,9-Nov-14,105
231716,Trazodone,Anxiety,1,1-Dec-14,87
231710,Trazodone,Insomnia,7,2-Jan-15,93
231708,Trazodone,Insomnia,6,10-Jan-15,131
231702,Trazodone,Depression,10,2-Feb-15,127
231701,Trazodone,Insomnia,8,13-Feb-15,70
231694,Trazodone,Insomnia,9,25-Feb-15,70
231690,Trazodone,Depression,10,8-Mar-15,84
231680,Trazodone,Insomnia,10,13-Aug-15,70
231676,Trazodone,Insomnia,1,18-Aug-15,29
231675,Trazodone,Insomnia,6,20-Aug-15,22
231672,Trazodone,Insomnia,3,23-Aug-15,28
231671,Trazodone,Insomnia,1,25-Aug-15,32
231670,Trazodone,Insomnia,10,25-Aug-15,86
231661,Trazodone,Insomnia,10,19-Sep-15,90
231658,Trazodone,Insomnia,8,23-Mar-15,60
231654,Trazodone,Major Depressive Disorde,9,1-Apr-15,27
231648,Trazodone,Insomnia,9,16-Apr-15,43
231638,Trazodone,Sedation,10,2-May-15,13
231630,Trazodone,Insomnia,10,24-May-15,124
231624,Trazodone,Sedation,5,22-Jun-15,41
231621,Trazodone,Insomnia,9,1-Jul-15,66
231618,Trazodone,Insomnia,8,10-Jul-15,31
231614,Trazodone,Insomnia,8,23-Jul-15,25
231613,Trazodone,Insomnia,2,26-Jul-15,21
231611,Trazodone,Insomnia,10,27-Jul-15,86
231610,Trazodone,Sedation,8,29-Jul-15,48
231609,Trazodone,Insomnia,1,4-Aug-15,25
231604,Trazodone,Insomnia,9,5-Oct-15,67
231603,Trazodone,Major Depressive Disorde,9,6-Oct-15,19
231592,Trazodone,Insomnia,8,8-Nov-15,26
231584,Trazodone,Insomnia,7,23-Nov-15,30
231574,Trazodone,Insomnia,4,5-Dec-15,37
231571,Trazodone,Insomnia,10,13-Dec-15,70
231564,Trazodone,Insomnia,3,4-Jan-16,19
231561,Trazodone,Insomnia,2,12-Jan-16,7
231560,Trazodone,Insomnia,10,15-Jan-16,56
231557,Trazodone,Insomnia,10,4-Jun-16,15
231555,Trazodone,Insomnia,5,6-Jun-16,19
231548,Trazodone,Insomnia,1,16-Jun-16,25
231546,Trazodone,Insomnia,10,22-Jun-16,50
231533,Trazodone,Anxiety,9,18-Jan-16,105
231532,Trazodone,Insomnia,1,19-Jan-16,19
231530,Trazodone,Insomnia,1,24-Jan-16,36
231521,Trazodone,Depression,1,8-Feb-16,55
231514,Trazodone,Insomnia,4,18-Feb-16,24
231505,Trazodone,Anxiety,10,19-Apr-16,35
231502,Trazodone,Insomnia,3,22-Apr-16,41
231500,Trazodone,Headache,3,26-Apr-16,14
231495,Trazodone,Sedation,1,2-May-16,17
231493,Trazodone,Insomnia,8,6-May-16,35
231491,Trazodone,Sedation,1,13-May-16,40
231489,Trazodone,Insomnia,10,21-May-16,35
231487,Trazodone,Insomnia,9,26-May-16,45
231483,Trazodone,Sedation,1,29-Feb-16,68
231482,Trazodone,Sedation,10,2-Mar-16,122
231479,Trazodone,Insomnia,1,3-Mar-16,17
231473,Trazodone,Insomnia,1,19-Mar-16,26
231471,Trazodone,Insomnia,1,23-Mar-16,17
231470,Trazodone,Insomnia,1,25-Mar-16,30
231464,Trazodone,Insomnia,6,5-Apr-16,30
231463,Trazodone,Insomnia,6,6-Apr-16,31
231457,Trazodone,Anxiety,7,26-Jul-16,25
231453,Trazodone,Insomnia,3,2-Aug-16,12
231452,Trazodone,Insomnia,5,4-Aug-16,8
231449,Trazodone,Depression,3,5-Aug-16,20
231444,Trazodone,Sedation,1,9-Aug-16,32
231439,Trazodone,Insomnia,1,15-Aug-16,19
231435,Trazodone,Insomnia,10,19-Aug-16,55
231434,Trazodone,Insomnia,8,19-Aug-16,35
231430,Trazodone,Anxiety,5,3-Sep-16,69
231427,Trazodone,ibromyalgia,9,5-Sep-16,35
231424,Trazodone,Insomnia,9,8-Sep-16,53
231422,Trazodone,Insomnia,9,14-Sep-16,34
231421,Trazodone,Insomnia,2,14-Sep-16,10
231419,Trazodone,Sedation,10,16-Sep-16,90
231415,Trazodone,Insomnia,1,20-Sep-16,27
231411,Trazodone,Insomnia,1,28-Sep-16,1
231410,Trazodone,Insomnia,10,28-Sep-16,32
231406,Trazodone,Major Depressive Disorde,10,10-Oct-16,10
231397,Trazodone,Insomnia,1,18-Oct-16,15
231386,Trazodone,Insomnia,3,3-Nov-16,14
231384,Trazodone,Insomnia,8,6-Nov-16,53
231376,Trazodone,Insomnia,10,21-Nov-16,32
231374,Trazodone,Insomnia,6,2-Dec-16,30
231373,Trazodone,Major Depressive Disorde,6,7-Dec-16,5
231371,Trazodone,Insomnia,1,11-Dec-16,24
231364,Trazodone,Insomnia,10,22-Dec-16,86
231362,Trazodone,Insomnia,9,29-Dec-16,52
231361,Trazodone,Sedation,6,29-Dec-16,40
231360,Trazodone,Insomnia,9,1-Jan-17,92
231356,Trazodone,Insomnia,8,13-Mar-17,51
231353,Trazodone,Insomnia,4,19-Mar-17,37
231352,Trazodone,Insomnia,1,5-Apr-17,30
231338,Trazodone,Insomnia,8,6-May-17,13
231336,Trazodone,Sedation,10,11-May-17,26
231331,Trazodone,Sedation,10,21-May-17,47
231329,Trazodone,Insomnia,10,2-Jun-17,33
231322,Trazodone,Sedation,10,23-Jun-17,44
231321,Trazodone,Sedation,10,29-Jun-17,25
231319,Trazodone,Major Depressive Disorde,1,7-Jul-17,5
231316,Trazodone,Insomnia,9,13-Jul-17,60
231309,Trazodone,Insomnia,10,11-Aug-17,42
231305,Trazodone,Sedation,10,23-Oct-17,12
231300,Trazodone,Insomnia,8,28-Oct-17,10
231299,Trazodone,Depression,7,30-Oct-17,5
231298,Trazodone,Anxiety,9,5-Nov-17,4
231289,Trazodone,Anxiety,2,21-Nov-17,1
231288,Trazodone,Insomnia,8,27-Nov-17,2
231287,Trazodone,Insomnia,1,30-Nov-17,0
231282,Trazodone,Insomnia,1,16-Jan-17,36
231277,Trazodone,Insomnia,1,29-Jan-17,47
231276,Trazodone,Anxiety,6,29-Jan-17,11
231275,Trazodone,Insomnia,1,31-Jan-17,52
231273,Trazodone,Anxiety,9,2-Feb-17,79
231268,Trazodone,Reflex Sympathetic Dystrophy Syndrome,5,15-Feb-17,2
231265,Trazodone,Anxiety,1,18-Feb-17,57
231264,Trazodone,Insomnia,1,18-Feb-17,18
231263,Trazodone,Insomnia,10,19-Feb-17,96
231258,Trazodone,Insomnia,9,11-Aug-17,31
231256,Trazodone,Insomnia,4,12-Aug-17,20
231252,Trazodone,Insomnia,1,26-Aug-17,16
231251,Trazodone,Insomnia,10,28-Aug-17,26
231249,Trazodone,Insomnia,1,6-Sep-17,10
231246,Trazodone,Insomnia,5,9-Sep-17,18
231245,Trazodone,Anxiety,3,9-Sep-17,6
231243,Trazodone,Sedation,10,17-Sep-17,10
231241,Trazodone,Insomnia,1,21-Sep-17,18
231237,Trazodone,Anxiety,7,27-Sep-17,5
231225,Hydromet,Cough,6,26-Jan-11,26
231224,Hydromet,Cough,4,28-Feb-11,21
231188,Peginterferon alfa-2a,Hepatitis C,7,3-Aug-09,20
231180,Peginterferon alfa-2a,Hepatitis C,10,25-Aug-13,5
231179,Peginterferon alfa-2a,Hepatitis C,1,27-May-14,2
231176,Peginterferon alfa-2a,Hepatitis C,10,4-May-15,0
231173,Zohydro ER,Pain,1,21-Sep-15,37
231172,Zohydro ER,Pain,10,23-Sep-15,62
231169,Zohydro ER,Pain,4,10-Dec-15,33
231164,Zohydro ER,Pain,10,12-Oct-16,28
231158,Zohydro ER,Pain,10,19-Jul-17,10
231156,Zohydro ER,Pain,8,3-Aug-17,3
231149,Zohydro ER,Pain,10,10-Apr-14,167
231142,Zohydro ER,Pain,10,2-Nov-14,70
231141,Zohydro ER,Pain,10,30-Dec-14,102
231139,Zohydro ER,Pain,7,11-Feb-15,49
231132,Milnacipran,ibromyalgia,10,17-Apr-09,28
231131,Milnacipran,ibromyalgia,6,14-May-09,9
231129,Milnacipran,ibromyalgia,10,22-May-09,51
231127,Milnacipran,ibromyalgia,8,2-Jun-09,30
231126,Milnacipran,ibromyalgia,3,13-Jun-09,25
231123,Milnacipran,ibromyalgia,10,16-Jun-09,245
231121,Milnacipran,ibromyalgia,9,22-Jun-09,35
231119,Milnacipran,ibromyalgia,6,26-Jun-09,61
231117,Milnacipran,ibromyalgia,10,1-Jul-09,172
231107,Milnacipran,ibromyalgia,7,16-Jul-09,50
231099,Milnacipran,ibromyalgia,1,23-Jul-09,34
231098,Milnacipran,ibromyalgia,8,29-Jul-09,89
231092,Milnacipran,ibromyalgia,8,14-Aug-09,99
231091,Milnacipran,ibromyalgia,5,14-Aug-09,22
231089,Milnacipran,ibromyalgia,7,21-Aug-09,89
231087,Milnacipran,ibromyalgia,8,27-Aug-09,109
231086,Milnacipran,ibromyalgia,8,28-Aug-09,22
231082,Milnacipran,ibromyalgia,5,8-Sep-09,9
231073,Milnacipran,ibromyalgia,8,20-Sep-09,54
231072,Milnacipran,ibromyalgia,8,27-Sep-09,24
231071,Milnacipran,ibromyalgia,5,30-Sep-09,20
231070,Milnacipran,ibromyalgia,8,2-Oct-09,43
231067,Milnacipran,ibromyalgia,8,6-Oct-09,28
231066,Milnacipran,ibromyalgia,3,11-Oct-09,19
231063,Milnacipran,ibromyalgia,9,29-Oct-09,33
231062,Milnacipran,ibromyalgia,8,4-Nov-09,17
231061,Milnacipran,ibromyalgia,5,5-Nov-09,11
231060,Milnacipran,ibromyalgia,9,5-Nov-09,13
231058,Milnacipran,ibromyalgia,7,8-Nov-09,27
231056,Milnacipran,ibromyalgia,1,21-Nov-09,25
231055,Milnacipran,ibromyalgia,9,25-Nov-09,40
231053,Milnacipran,ibromyalgia,1,28-Nov-09,24
231050,Milnacipran,ibromyalgia,9,3-Dec-09,114
231046,Milnacipran,ibromyalgia,9,27-Mar-10,51
231043,Milnacipran,ibromyalgia,10,6-Apr-10,55
231041,Milnacipran,ibromyalgia,5,20-Apr-10,16
231036,Milnacipran,ibromyalgia,7,13-May-10,32
231033,Milnacipran,ibromyalgia,10,5-Jun-10,54
231031,Milnacipran,ibromyalgia,8,15-Jun-10,22
231023,Milnacipran,ibromyalgia,8,28-Jul-10,35
231018,Milnacipran,ibromyalgia,9,31-Dec-09,46
231016,Milnacipran,ibromyalgia,5,5-Jan-10,13
231005,Milnacipran,ibromyalgia,10,31-Jan-10,20
230997,Milnacipran,ibromyalgia,8,29-Jul-10,48
230977,Milnacipran,ibromyalgia,1,27-Nov-10,15
230967,Milnacipran,ibromyalgia,8,20-Jan-11,24
230966,Milnacipran,ibromyalgia,1,25-Jan-11,12
230964,Milnacipran,ibromyalgia,10,9-Feb-11,18
230963,Milnacipran,ibromyalgia,5,14-Feb-11,10
230940,Milnacipran,ibromyalgia,8,29-Oct-11,18
230939,Milnacipran,ibromyalgia,10,3-Nov-11,24
230938,Milnacipran,ibromyalgia,10,9-Nov-11,31
230936,Milnacipran,ibromyalgia,10,11-Nov-11,29
230930,Milnacipran,ibromyalgia,8,19-Jan-12,43
230919,Milnacipran,ibromyalgia,10,9-Jun-12,52
230915,Milnacipran,ibromyalgia,6,18-Jul-12,38
230913,Milnacipran,ibromyalgia,8,22-Sep-12,43
230909,Milnacipran,ibromyalgia,10,4-Jan-13,65
230894,Milnacipran,ibromyalgia,6,20-Apr-13,51
230893,Milnacipran,ibromyalgia,8,5-May-13,74
230889,Milnacipran,ibromyalgia,10,16-Jul-13,166
230873,Milnacipran,ibromyalgia,10,24-Nov-14,63
230872,Milnacipran,ibromyalgia,1,20-Jan-15,61
230871,Milnacipran,ibromyalgia,1,22-Mar-15,51
230870,Milnacipran,ibromyalgia,8,26-Mar-15,59
230868,Milnacipran,ibromyalgia,10,6-May-15,105
230865,Milnacipran,ibromyalgia,9,7-Sep-15,38
230860,Milnacipran,ibromyalgia,10,16-Dec-15,35
230855,Milnacipran,ibromyalgia,1,28-Jan-16,69
230853,Milnacipran,ibromyalgia,3,25-Feb-16,22
230850,Milnacipran,ibromyalgia,10,11-Apr-16,83
230846,Milnacipran,ibromyalgia,3,16-Jun-16,19
230842,Milnacipran,ibromyalgia,10,28-Jul-16,47
230839,Milnacipran,ibromyalgia,10,10-Oct-16,64
230838,Milnacipran,ibromyalgia,9,20-Nov-16,31
230835,Milnacipran,ibromyalgia,7,15-Feb-17,27
230830,Milnacipran,ibromyalgia,2,8-Aug-17,12
230827,Milnacipran,ibromyalgia,6,20-Sep-17,6
230822,Remeron SolTab,Insomnia,10,23-Oct-09,69
230815,Micardis,High Blood Pressure,1,26-Jun-09,80
230814,Micardis,High Blood Pressure,3,24-Jul-09,89
230805,Micardis,High Blood Pressure,5,8-Oct-10,105
230804,Micardis,37</span> users found this comment helpful.,4,23-Mar-11,37
230803,Micardis,High Blood Pressure,7,24-Dec-11,44
230800,Micardis,High Blood Pressure,1,20-Apr-14,62
230796,Micardis,High Blood Pressure,5,29-Mar-16,24
230789,Naratriptan,Migraine,9,20-Nov-10,25
230771,Naratriptan,Migraine,7,16-Nov-16,6
230768,Naratriptan,Migraine,3,23-Jun-17,0
230766,Naratriptan,Migraine,10,27-Sep-17,0
230765,Micardis,High Blood Pressure,10,17-Jun-08,134
230759,Naratriptan,Migraine,10,13-May-08,23
230757,Naratriptan,Migraine,10,5-Feb-09,16
230752,Tazorac,Acne,10,2-Apr-10,36
230750,Tazorac,Acne,10,13-Apr-12,30
230749,Tazorac,Acne,10,30-Apr-12,41
230733,Intron A,Hepatitis C,1,5-May-16,2
230730,Camphor / menthol,Pain,6,18-Oct-16,4
230729,Camphor / menthol,Pain,7,18-Feb-17,3
230725,Permethrin,Scabies,9,23-Sep-09,48
230724,Permethrin,Scabies,10,30-Jun-14,17
230723,Permethrin,Head Lice,1,14-Jan-15,4
230705,Acetylcysteine,Expectoration,1,14-Jun-15,15
230704,Acetylcysteine,Expectoration,10,10-Jan-16,3
230698,Taxotere,Breast Cance,1,22-Apr-15,5
230697,Taxotere,Breast Cance,2,10-Mar-16,4
230688,Cyclizine,Motion Sickness,10,22-Aug-14,9
230687,Cyclizine,Nausea/Vomiting,10,25-Jun-15,12
230675,Bepotastine,"Conjunctivitis, Allergic",10,21-Mar-11,11
230671,Bepotastine,"Conjunctivitis, Allergic",10,29-Mar-12,3
230669,Bepotastine,"Conjunctivitis, Allergic",10,3-May-13,0
230667,Bepotastine,"Conjunctivitis, Allergic",10,4-Nov-14,2
230665,Bepotastine,"Conjunctivitis, Allergic",10,3-Sep-16,3
230660,Cortef,Adrenocortical Insufficiency,10,25-Sep-14,16
230656,Depo-Provera,Abnormal Uterine Bleeding,10,6-Jan-09,107
230648,Depo-Provera,Birth Control,10,29-Mar-09,8
230645,Depo-Provera,Birth Control,4,9-May-09,30
230640,Depo-Provera,Birth Control,1,10-Aug-09,8
230636,Depo-Provera,Birth Control,8,15-Sep-09,3
230635,Depo-Provera,Birth Control,3,23-Sep-09,43
230632,Depo-Provera,Birth Control,8,5-Oct-09,1
230631,Depo-Provera,Birth Control,4,28-Oct-09,4
230629,Depo-Provera,Birth Control,8,30-Oct-09,1
230628,Depo-Provera,Birth Control,4,3-Nov-09,12
230627,Depo-Provera,Endometriosis,9,7-Nov-09,17
230625,Depo-Provera,12</span> users found this comment helpful.,7,12-Dec-09,12
230624,Depo-Provera,Birth Control,9,15-Dec-09,1
230622,Depo-Provera,Endometriosis,3,7-Jan-10,67
230621,Depo-Provera,4</span> users found this comment helpful.,2,4-Feb-10,4
230620,Depo-Provera,Endometriosis,9,8-Feb-10,42
230617,Depo-Provera,Endometriosis,9,1-Apr-10,8
230613,Depo-Provera,Birth Control,9,28-Sep-10,1
230611,Depo-Provera,Birth Control,3,14-Jun-11,3
230605,Depo-Provera,6</span> users found this comment helpful.,8,30-Jul-11,6
230603,Depo-Provera,0</span> users found this comment helpful.,8,16-Aug-11,0
230601,Depo-Provera,Birth Control,10,5-Sep-11,3
230597,Depo-Provera,Birth Control,6,20-Sep-11,2
230596,Depo-Provera,Endometriosis,1,26-Sep-11,18
230594,Depo-Provera,Endometriosis,8,1-Oct-11,15
230583,Depo-Provera,Birth Control,3,9-Mar-11,2
230580,Depo-Provera,Birth Control,7,18-Mar-11,1
230576,Depo-Provera,Birth Control,6,15-Apr-11,2
230570,Depo-Provera,Birth Control,8,1-May-11,1
230569,Depo-Provera,Birth Control,10,2-May-11,2
230560,Depo-Provera,2</span> users found this comment helpful.,6,20-Nov-11,2
230556,Depo-Provera,Birth Control,10,27-Nov-11,1
230549,Depo-Provera,Birth Control,1,22-Jan-12,6
230542,Depo-Provera,Birth Control,8,16-Mar-12,3
230537,Depo-Provera,Birth Control,8,24-Apr-12,5
230528,Depo-Provera,5</span> users found this comment helpful.,2,17-Dec-12,5
230521,Depo-Provera,Birth Control,9,22-Jan-13,26
230519,Depo-Provera,Birth Control,6,20-Feb-13,12
230513,Depo-Provera,Birth Control,8,25-Mar-13,20
230504,Depo-Provera,Endometriosis,1,9-Jun-12,23
230501,Depo-Provera,Abnormal Uterine Bleeding,1,22-Jul-12,39
230500,Depo-Provera,Endometriosis,1,25-Jul-12,36
230499,Depo-Provera,Birth Control,2,30-Jul-12,0
230497,Depo-Provera,Birth Control,1,13-Aug-12,10
230492,Depo-Provera,Birth Control,1,13-Sep-12,4
230488,Depo-Provera,Abnormal Uterine Bleeding,3,11-Oct-12,29
230483,Depo-Provera,Birth Control,4,24-Apr-13,21
230480,Depo-Provera,Birth Control,9,10-May-13,10
230477,Depo-Provera,Birth Control,7,14-May-13,7
230473,Depo-Provera,Abnormal Uterine Bleeding,1,30-May-13,101
230472,Depo-Provera,Birth Control,10,7-Jun-13,10
230471,Depo-Provera,Birth Control,8,11-Jun-13,8
230470,Depo-Provera,Birth Control,9,21-Jun-13,11
230467,Depo-Provera,Birth Control,10,28-Jun-13,17
230465,Depo-Provera,Endometriosis,9,30-Jun-13,50
230461,Depo-Provera,Birth Control,9,13-Nov-13,13
230458,Depo-Provera,Birth Control,10,29-Nov-13,34
230457,Depo-Provera,Birth Control,10,10-Dec-13,31
230456,Depo-Provera,Birth Control,10,3-Jan-14,17
230455,Depo-Provera,Birth Control,10,6-Jan-14,25
230452,Depo-Provera,Birth Control,2,28-Jan-14,15
230449,Depo-Provera,Endometriosis,9,8-Feb-14,39
230439,Depo-Provera,Endometriosis,9,5-Mar-14,50
230436,Depo-Provera,Birth Control,3,28-Jul-13,20
230432,Depo-Provera,Birth Control,9,1-Sep-13,17
230429,Depo-Provera,Birth Control,7,21-Sep-13,16
230425,Depo-Provera,Birth Control,6,15-Oct-13,9
230416,Depo-Provera,Endometriosis,2,7-Nov-13,14
230413,Depo-Provera,Birth Control,5,10-Nov-13,14
230412,Depo-Provera,Birth Control,1,12-Nov-13,18
230410,Meloxicam,Osteoarthritis,10,2-Jul-15,55
230394,Meloxicam,Inflammatory Conditions,9,17-Oct-15,45
230389,Meloxicam,Osteoarthritis,8,7-Dec-15,23
230388,Meloxicam,Inflammatory Conditions,9,11-Dec-15,22
230382,Meloxicam,Osteoarthritis,9,1-Nov-14,48
230375,Meloxicam,Inflammatory Conditions,8,7-Apr-15,70
230369,Meloxicam,Inflammatory Conditions,10,4-May-15,82
230367,Meloxicam,Osteoarthritis,10,16-May-15,51
230366,Meloxicam,Osteoarthritis,1,25-May-15,38
230364,Meloxicam,Osteoarthritis,8,18-Jun-15,44
230361,Depo-Provera,Endometriosis,7,24-Mar-14,40
230350,Depo-Provera,Birth Control,9,1-Jun-14,16
230347,Depo-Provera,Endometriosis,10,6-Jun-14,28
230346,Depo-Provera,Birth Control,4,27-Jun-14,8
230339,Depo-Provera,Abnormal Uterine Bleeding,6,11-Jul-14,13
230330,Meloxicam,Osteoarthritis,10,29-Oct-13,78
230320,Meloxicam,Osteoarthritis,10,3-May-14,71
230312,Meloxicam,Tendonitis,9,30-Sep-14,58
230309,Meloxicam,Inflammatory Conditions,1,24-Apr-16,37
230308,Meloxicam,Osteoarthritis,10,25-Apr-16,64
230304,Meloxicam,Inflammatory Conditions,9,24-May-16,19
230302,Meloxicam,Rheumatoid Arthritis,3,6-Jun-16,31
230294,Meloxicam,Inflammatory Conditions,7,14-Aug-16,31
230293,Meloxicam,Osteoarthritis,10,14-Aug-16,9
230291,Meloxicam,Inflammatory Conditions,9,28-Aug-16,22
230289,Meloxicam,Rheumatoid Arthritis,1,5-Sep-16,19
